id,name,spouse,child,gender,father,mother,born,died,birth_place,place_of_death,position_held,instance_of,occupation,description,enwiki,url
Q70899,Adam,Q830183,"[u'Q205365', u'Q313421', u'Q107626']",male,,,,,,,,biblical character,,,Adam,https://www.wikidata.org/wiki/Q70899
Q830183,Eve,Q70899,"[u'Q205365', u'Q313421', u'Q107626']",female,,,,,,,,biblical character,,,Eve,https://www.wikidata.org/wiki/Q830183
Q205365,Cain,,Q2495184,male,Q70899,Q830183,,,,,,human,,,,https://www.wikidata.org/wiki/Q205365
Q313421,Abel,,,male,Q70899,Q830183,,,,,,biblical character,,,,https://www.wikidata.org/wiki/Q313421
Q107626,Seth,,Q682531,male,Q70899,Q830183,,,,,,biblical character,,,Seth,https://www.wikidata.org/wiki/Q107626
Q2495184,Enoch,,Q3364264,male,Q205365,,,,,,,biblical character,,,Enoch (son of Cain),https://www.wikidata.org/wiki/Q2495184
Q682531,Enos,,Q844433,male,Q107626,,,,,,,human,,,Enos (biblical figure),https://www.wikidata.org/wiki/Q682531
Q3364264,Irad,,Q10329365,male,Q2495184,,,,,,,biblical character,,,"Irad, Son of Enoch",https://www.wikidata.org/wiki/Q3364264
Q844433,Kenan,,Q10297002,male,Q682531,,,,,,,"[u'human', u'biblical character']",,,Kenan,https://www.wikidata.org/wiki/Q844433
Q10329365,Mehujael,,Q10329289,male,Q3364264,,,,,,,biblical character,,,,https://www.wikidata.org/wiki/Q10329365
Q10297002,Mahalalel,,Q927410,male,Q844433,,,,,,,human,,,Mahalalel,https://www.wikidata.org/wiki/Q10297002
Q10329289,Methusael,,Q155852,male,Q10329365,,,,,,,biblical character,,,,https://www.wikidata.org/wiki/Q10329289
Q927410,Jared,,Q213027,male,Q10297002,,,,,,,human,,,Jared (biblical figure),https://www.wikidata.org/wiki/Q927410
Q155852,Lamech,"[u'Q1809123', u'Q203082']","[u'Q1356181', u'Q1542154', u'Q1676803', u'Q1432204']",male,Q10329289,,,,,,,biblical character,,,Lamech,https://www.wikidata.org/wiki/Q155852
Q213027,Enoch,,Q156290,male,Q927410,,,,,,,human,,,Enoch (ancestor of Noah),https://www.wikidata.org/wiki/Q213027
Q1809123,Ada,Q155852,"[u'Q1676803', u'Q1432204']",female,,,,,,,,biblical character,,,,https://www.wikidata.org/wiki/Q1809123
Q203082,Zillah,Q155852,"[u'Q1356181', u'Q1542154']",female,,,,,,,,biblical character,,,,https://www.wikidata.org/wiki/Q203082
Q1356181,Tubal-cain,,,male,Q155852,Q203082,,,,,,biblical character,,,Tubal-cain,https://www.wikidata.org/wiki/Q1356181
Q1542154,Naamah,,,female,Q155852,Q203082,,,,,,biblical character,,,Naamah (Genesis),https://www.wikidata.org/wiki/Q1542154
Q1676803,Jabal,,,male,Q155852,Q1809123,,,,,,biblical character,,,Jabal (Bible),https://www.wikidata.org/wiki/Q1676803
Q1432204,Jubal,,,male,Q155852,Q1809123,,,,,,biblical character,,,Jubal (Bible),https://www.wikidata.org/wiki/Q1432204
Q156290,Methuselah,,Q10921342,male,Q213027,,,,,,,human,,,Methuselah,https://www.wikidata.org/wiki/Q156290
Q10921342,Lamech,,Q81422,male,Q156290,,,,,,,human,,,Lamech (father of Noah),https://www.wikidata.org/wiki/Q10921342
Q81422,Noah,,"[u'Q200902', u'Q229702', u'Q200637']",male,Q10921342,,,,,,,biblical character,,,Noah,https://www.wikidata.org/wiki/Q81422
Q200902,Shem,,"[u'Q1147704', u'Q2426606', u'Q457520', u'Q1815870', u'Q625667']",male,Q81422,,,,,,,biblical character,,,Shem,https://www.wikidata.org/wiki/Q200902
Q229702,Ham,,"[u'Q1138595', u'Q204797', u'Q1369215', u'Q946939']",male,Q81422,,,,,,,human,,,Ham (son of Noah),https://www.wikidata.org/wiki/Q229702
Q200637,Japheth,,"[u'Q1148172', u'Q1964706', u'Q1790796', u'Q1684266', u'Q1481766', u'Q30973', u'Q1481751']",male,Q81422,,,,,,,human,,,Japheth,https://www.wikidata.org/wiki/Q200637
Q1147704,Biblical Elam,,,male,Q200902,,,,,,,biblical character,,,Biblical Elam,https://www.wikidata.org/wiki/Q1147704
Q2426606,Ashur,,,male,Q200902,,,,,,,biblical character,,,Ashur,https://www.wikidata.org/wiki/Q2426606
Q457520,Arpachshad,,Q1827950,male,Q200902,,,,,,,human,,,Arpachshad,https://www.wikidata.org/wiki/Q457520
Q1815870,Lud,,,male,Q200902,,,,,,,biblical character,,,"Lud, son of Shem",https://www.wikidata.org/wiki/Q1815870
Q625667,Aram,,"[u'Q2558734', u'Q2898616', u'Q2910407']",male,Q200902,,,,,,,biblical character,,,"Aram, son of Shem",https://www.wikidata.org/wiki/Q625667
Q1138595,Cush,,,male,Q229702,,,,,,,biblical character,,,Cush (Bible),https://www.wikidata.org/wiki/Q1138595
Q204797,Canaan,,,male,Q229702,,,,,,,biblical character,,,Canaan (son of Ham),https://www.wikidata.org/wiki/Q204797
Q1369215,Mizraim,,,male,Q229702,,,,,,,biblical character,,,Mizraim,https://www.wikidata.org/wiki/Q1369215
Q946939,Phut,,,male,Q229702,,,,,,,human,,,Phut,https://www.wikidata.org/wiki/Q946939
Q1148172,Gomer,,"[u'Q2918052', u'Q1068499', u'Q722770']",male,Q200637,,,,,,,mythical character,,,Gomer,https://www.wikidata.org/wiki/Q1148172
Q1964706,Magog,,,male,Q200637,,,,,,,mythical character,,,Magog (Bible),https://www.wikidata.org/wiki/Q1964706
Q1790796,Madai,,,,Q200637,,,,,,,mythical character,,,Madai,https://www.wikidata.org/wiki/Q1790796
Q1684266,Javan,,"[u'Q1330627', u'Q44826', u'Q1743921', u'Q2918046']",male,Q200637,,,,,,,mythical character,,,Javan,https://www.wikidata.org/wiki/Q1684266
Q1481766,Tubal,,,male,Q200637,,,,,,,"[u'mythical character', u'human']",,,Tubal,https://www.wikidata.org/wiki/Q1481766
Q30973,Meshech,,,,Q200637,,,,,,,mythical character,,,Meshech,https://www.wikidata.org/wiki/Q30973
Q1481751,Tiras,,,,Q200637,,,,,,,mythical character,,,Tiras,https://www.wikidata.org/wiki/Q1481751
Q1827950,Salah,,Q502282,male,Q457520,,,,,,,human,,,Salah (biblical figure),https://www.wikidata.org/wiki/Q1827950
Q2558734,Uz,,,male,Q625667,,,,,,,biblical character,,,Uz (son of Aram),https://www.wikidata.org/wiki/Q2558734
Q2898616,Hul,,,male,Q625667,,,,,,,biblical character,,,Hul,https://www.wikidata.org/wiki/Q2898616
Q2910407,Gether,,,male,Q625667,,,,,,,biblical character,,,Gether,https://www.wikidata.org/wiki/Q2910407
Q2918052,Riphath,,,male,Q1148172,,,,,,,"[u'mythical character', u'human']",,,Riphath,https://www.wikidata.org/wiki/Q2918052
Q1068499,Togarmah,,,male,Q1148172,,,,,,,human,,,Togarmah,https://www.wikidata.org/wiki/Q1068499
Q722770,Ashkenaz,,,,Q1148172,,,,,,,mythical character,,,Ashkenaz,https://www.wikidata.org/wiki/Q722770
Q1330627,Elishah,,,,Q1684266,,,,,,,mythical character,,,Elishah,https://www.wikidata.org/wiki/Q1330627
Q44826,Tarshish,,,,,,,,,,,fictional city,,,Tarshish,https://www.wikidata.org/wiki/Q44826
Q1743921,Kittim,,,,Q1684266,,,,,,,mythical character,,,Kittim,https://www.wikidata.org/wiki/Q1743921
Q2918046,Dodanim,,,,Q1684266,,,,,,,mythical character,,,Dodanim,https://www.wikidata.org/wiki/Q2918046
Q502282,Eber,,"[u'Q1648259', u'Q1553059']",male,Q1827950,,,,,,,"[u'biblical character', u'human']",,,Eber,https://www.wikidata.org/wiki/Q502282
Q1648259,Peleg,,Q2040793,male,Q502282,,,,,,,"[u'human', u'biblical character']",,,Peleg,https://www.wikidata.org/wiki/Q1648259
